Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2022-09-21,2022-09-26,270.7,250.0,-7.65,5,trailing_stoploss,2.899,-22.167
2022-09-27,2022-10-04,256.1,250.15,-2.32,7,max_hold,2.904,-6.747
2022-10-06,2022-10-13,256.5,252.8,-1.44,7,max_hold,7.193,-10.375
2022-10-14,2022-10-21,252.15,254.8,1.05,7,max_hold,2.549,2.679
2022-10-24,2022-11-01,256.9,260.0,1.21,8,max_hold,4.837,5.837
2022-11-02,2022-11-07,256.6,265.0,3.27,5,profit_target,2.216,7.254
2022-11-10,2022-11-17,264.9,270.2,2.0,7,max_hold,0.136,0.273
2022-11-28,2022-12-05,292.65,294.7,0.7,7,max_hold,3.179,2.227
2022-12-08,2022-12-14,296.2,280.0,-5.47,6,trailing_stoploss,0.415,-2.27
2022-12-15,2022-12-22,270.4,270.55,0.06,7,max_hold,5.031,0.279
2022-12-23,2022-12-26,267.5,276.45,3.35,3,profit_target,2.629,8.797
2022-12-27,2023-01-03,286.5,288.65,0.75,7,max_hold,3.705,2.78
2023-01-04,2023-01-11,287.65,290.25,0.9,7,max_hold,0.97,0.877
2023-01-16,2023-01-23,290.2,296.55,2.19,7,max_hold,3.314,7.252
2023-02-01,2023-02-08,310.05,320.75,3.45,7,profit_target,0.366,1.263
2023-02-09,2023-02-16,325.7,336.1,3.19,7,profit_target,2.52,8.047
2023-02-17,2023-02-20,340.0,367.9,8.21,3,profit_target,3.172,26.027
2023-02-22,2023-02-23,345.1,363.55,5.35,1,profit_target,1.275,6.817
2023-02-24,2023-03-01,353.0,385.5,9.21,5,profit_target,3.802,35.001
2023-03-02,2023-03-10,400.85,390.15,-2.67,8,trailing_stoploss,6.515,-17.392
2023-03-13,2023-03-14,399.7,417.3,4.4,1,profit_target,1.758,7.74
2023-03-16,2023-03-23,404.95,412.65,1.9,7,max_hold,1.916,3.643
2023-03-24,2023-03-27,411.5,387.75,-5.77,3,trailing_stoploss,1.949,-11.248
