Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2022-09-29,2022-10-03,1453.95,1392.55,-4.22,4,trailing_stoploss,5.435,-22.951
2022-10-06,2022-10-11,1423.75,1361.5,-4.37,5,trailing_stoploss,4.794,-20.96
2022-10-13,2022-10-20,1317.3,1278.95,-2.91,7,max_hold,1.326,-3.86
2022-11-15,2022-11-22,1421.8,1400.85,-1.47,7,max_hold,1.349,-1.988
2022-11-24,2022-12-01,1431.9,1447.45,1.09,7,max_hold,8.078,8.773
2022-12-15,2022-12-22,1378.7,1385.3,0.48,7,max_hold,11.983,5.736
2022-12-23,2022-12-28,1368.1,1297.55,-5.16,5,trailing_stoploss,15.284,-78.815
2022-12-29,2023-01-05,1277.5,1275.0,-0.2,7,max_hold,10.464,-2.048
2023-01-06,2023-01-10,1268.55,1338.2,5.49,4,profit_target,10.457,57.412
2023-01-11,2023-01-18,1399.0,1423.15,1.73,7,max_hold,9.558,16.5
2023-01-19,2023-01-27,1429.1,1406.85,-1.56,8,max_hold,4.645,-7.232
2023-01-30,2023-02-01,1422.6,1465.5,3.02,2,profit_target,12.129,36.576
2023-02-02,2023-02-06,1452.75,1504.45,3.56,4,profit_target,4.136,14.718
2023-02-08,2023-02-15,1488.4,1405.95,-5.54,7,trailing_stoploss,16.178,-89.616
2023-02-17,2023-02-24,1457.0,1463.0,0.41,7,max_hold,6.349,2.615
2023-02-27,2023-03-06,1424.55,1434.65,0.71,7,max_hold,14.877,10.548
2023-03-09,2023-03-10,1397.65,1484.85,6.24,1,profit_target,9.446,58.933
2023-03-13,2023-03-20,1427.75,1358.35,-4.86,7,trailing_stoploss,4.194,-20.388
2023-03-21,2023-03-24,1396.55,1321.35,-5.38,3,trailing_stoploss,5.57,-29.992
2023-03-29,2023-04-05,1298.8,1354.4,4.28,7,profit_target,2.315,9.91
2023-04-21,2023-04-28,1318.65,1355.5,2.79,7,max_hold,6.186,17.288
