Entry Date,Exit Date,Buy Price,Sell Price,P&L %,holding_days,exit_reason,confidence_weight,weighted_pnl
2024-12-09,2024-12-10,2002.15,2065.8,3.18,1,profit_target,2.7,8.584
2024-12-11,2024-12-18,2086.75,2052.45,-1.64,7,max_hold,3.105,-5.104
2024-12-19,2024-12-20,2017.5,1924.4,-4.61,1,trailing_stoploss,0.307,-1.415
2024-12-23,2024-12-30,1894.95,1849.05,-2.42,7,trailing_stoploss,11.653,-28.226
2024-12-31,2025-01-06,1837.35,1748.05,-4.86,6,trailing_stoploss,7.143,-34.719
2025-01-07,2025-01-10,1833.0,1740.7,-5.04,3,trailing_stoploss,3.008,-15.145
2025-01-14,2025-01-16,1713.45,1765.9,3.06,2,profit_target,3.565,10.914
2025-01-17,2025-01-24,1755.25,1344.9,-23.38,7,trailing_stoploss,5.449,-127.387
2025-01-27,2025-01-31,1350.7,1454.45,7.68,4,profit_target,5.537,42.531
2025-02-01,2025-02-05,1454.8,1509.55,3.76,4,profit_target,2.46,9.258
2025-02-06,2025-02-11,1496.7,1455.55,-2.75,5,trailing_stoploss,0.539,-1.481
2025-02-12,2025-02-19,1433.0,1476.5,3.04,7,profit_target,2.259,6.857
2025-02-21,2025-02-27,1364.85,1308.0,-4.17,6,trailing_stoploss,4.472,-18.629
2025-02-28,2025-03-04,1267.15,1211.5,-4.39,4,trailing_stoploss,8.059,-35.391
2025-03-05,2025-03-12,1269.6,1211.8,-4.55,7,trailing_stoploss,6.468,-29.448
2025-03-13,2025-03-19,1192.35,1253.75,5.15,6,profit_target,3.777,19.448
2025-03-20,2025-03-27,1283.25,1280.75,-0.19,7,max_hold,0.084,-0.016
2025-04-01,2025-04-04,1235.15,1158.75,-6.19,3,trailing_stoploss,0.49,-3.03
2025-04-07,2025-04-15,1121.2,1186.9,5.86,8,profit_target,6.693,39.222
2025-04-23,2025-04-25,1247.2,1170.8,-6.13,2,trailing_stoploss,5.123,-31.384
2025-04-28,2025-05-06,1181.7,1162.9,-1.59,8,max_hold,0.639,-1.017
