Date,Open,High,Low,Close,Volume
2022-01-18,52.95,52.95,50.2,51.25,291422
2022-01-19,52.1,52.1,48.7,50.05,163983
2022-01-20,51.65,52.55,51.1,52.2,117430
2022-01-21,52.2,52.2,49.75,50.1,61475
2022-01-24,50.75,51.55,47.55,47.75,99554
2022-01-25,47.75,50.2,45.45,50.2,117934
2022-01-27,51.55,52.65,50.35,52.65,100983
2022-01-28,53.85,55.3,53.55,55.3,49763
2022-01-31,58.05,58.05,53.35,55.05,220607
2022-02-01,55.55,56.25,52.3,52.3,186033
2022-02-02,52.05,54.95,51.35,54.95,85138
2022-02-03,56.1,56.2,52.85,53.35,75317
2022-02-04,54.45,54.45,51.85,53.75,38053
2022-02-07,55.6,55.6,51.55,52.3,101700
2022-02-08,52.2,53.35,49.65,50.25,167136
2022-02-09,51.85,52.75,50.65,51.1,135077
2022-02-10,51.45,51.45,48.85,49.4,50003
2022-02-11,48.85,51.65,47.25,50.95,73905
2022-02-14,49.0,51.0,48.4,48.55,97385
2022-02-15,48.55,50.0,46.75,47.6,41702
2022-02-16,48.55,49.95,48.45,49.8,66763
2022-02-17,50.55,50.85,48.55,48.85,44085
2022-02-18,47.55,49.4,47.55,48.05,26789
2022-02-21,46.75,47.15,45.65,45.65,103234
2022-02-22,43.4,44.35,43.4,43.4,96221
2022-02-23,43.55,44.35,42.4,43.35,74371
2022-02-24,41.4,42.15,41.2,41.2,50278
2022-02-25,41.65,43.25,41.65,43.25,26048
2022-02-28,43.35,45.4,41.85,45.4,45807
2022-03-02,45.55,47.55,43.35,44.15,90166
2022-03-03,45.55,46.35,44.65,46.35,74098
2022-03-04,46.1,47.8,44.75,46.75,95941
2022-03-07,45.0,45.4,44.4,44.8,58019
2022-03-08,44.85,46.3,43.7,45.6,27840
2022-03-09,46.45,47.85,46.0,47.75,59441
2022-03-10,48.55,50.1,47.0,48.85,96530
2022-03-11,48.35,51.0,48.35,50.55,56293
2022-03-14,51.0,52.2,50.65,51.4,130165
2022-03-15,52.45,52.55,49.55,50.05,76375
2022-03-16,51.1,52.2,50.15,51.15,43127
2022-03-17,52.2,52.45,49.75,50.85,82413
2022-03-21,51.65,51.85,49.05,49.95,44174
2022-03-22,49.0,51.65,48.6,48.95,55901
2022-03-23,49.05,50.0,48.0,48.4,62624
2022-03-24,48.0,50.85,47.75,50.85,99626
2022-03-25,51.4,53.4,50.2,53.4,89922
2022-03-28,54.45,56.05,52.2,55.95,203461
2022-03-29,57.75,58.75,56.45,58.75,77498
2022-03-30,61.75,61.75,60.55,61.75,59455
2022-03-31,61.65,64.75,58.85,61.75,281046
2022-04-01,62.85,63.65,59.1,60.35,89689
2022-04-04,60.55,62.0,59.35,60.45,65757
2022-04-05,61.1,61.1,59.6,60.1,40403
2022-04-06,59.1,60.55,59.1,59.75,25413
2022-04-07,60.3,61.1,58.35,58.85,48644
2022-04-08,58.85,61.0,58.65,58.95,46082
2022-04-11,59.75,59.95,58.45,58.75,42686
2022-04-12,58.65,61.75,57.0,60.6,112777
2022-04-13,60.55,61.65,57.55,58.95,74523
2022-04-18,59.95,59.95,56.75,57.25,73080
2022-04-19,59.35,60.1,56.85,57.65,87306
2022-04-20,57.2,58.75,56.55,57.05,60651
2022-04-21,58.05,58.35,57.05,57.3,30424
2022-04-22,57.55,59.55,57.2,58.7,63167
2022-04-25,58.85,61.55,57.65,60.95,94027
2022-04-26,62.2,63.0,59.45,60.55,92455
2022-04-27,62.1,62.1,57.95,59.2,43131
2022-04-28,60.1,60.3,58.25,58.65,29189
2022-04-29,59.25,59.35,58.45,58.75,22295
2022-05-02,59.0,59.4,57.2,57.65,55614
2022-05-04,54.8,56.1,54.75,54.75,77401
2022-05-05,53.35,54.25,52.05,52.05,57076
2022-05-06,49.65,51.45,49.45,49.6,151704
2022-05-09,47.45,48.95,47.1,47.15,97070
2022-05-10,46.0,46.55,44.8,44.8,97077
2022-05-11,44.2,46.65,42.55,45.2,118899
2022-05-12,45.55,47.2,45.45,47.2,94331
2022-05-13,48.65,49.55,47.85,49.55,46383
2022-05-16,51.1,52.05,50.05,52.05,67741
2022-05-17,53.65,54.65,50.1,53.65,117736
2022-05-18,53.35,54.4,51.1,51.85,97600
2022-05-19,49.85,51.1,49.25,49.45,55588
2022-05-20,49.85,51.75,49.85,50.25,43671
2022-05-23,51.55,52.65,50.25,51.25,72730
2022-05-24,52.2,52.2,48.75,49.2,59037
2022-05-25,50.45,50.45,46.75,46.95,42467
2022-05-26,47.65,47.65,45.2,46.8,40917
2022-05-27,47.65,48.55,45.75,48.1,26597
2022-05-30,48.45,50.2,48.45,49.6,28252
2022-05-31,50.45,51.4,48.85,50.6,43900
2022-06-01,50.75,51.85,49.6,49.95,75162
2022-06-02,50.75,52.45,49.65,52.15,101889
2022-06-03,53.45,53.45,51.55,51.75,43837
2022-06-06,50.95,52.15,50.55,51.45,53442
2022-06-07,52.1,52.1,49.75,50.3,62567
2022-06-08,51.0,58.75,50.1,57.45,468509
2022-06-09,58.65,64.95,58.35,62.05,780362
2022-06-10,61.75,68.25,56.85,66.6,635022
2022-06-13,66.3,71.55,61.15,62.4,1017712
2022-06-14,63.85,71.0,63.65,69.25,874138
2022-06-15,72.65,78.65,70.65,77.95,1440751
2022-06-16,80.45,83.2,71.4,74.8,1207013
2022-06-17,75.45,81.1,72.45,80.0,804116
2022-06-20,83.0,86.65,73.95,77.45,709970
2022-06-21,79.1,82.75,72.2,79.55,569467
2022-06-22,79.45,82.15,77.9,79.15,328627
2022-06-23,79.4,81.45,75.55,76.35,275971
2022-06-24,77.45,78.3,72.45,73.0,235210
2022-06-27,74.55,75.55,69.15,69.6,329058
2022-06-28,69.8,74.45,68.4,73.85,419016
2022-06-29,73.65,77.15,72.45,73.65,304816
2022-06-30,73.55,75.4,72.35,73.15,114012
2022-07-01,73.25,74.2,70.65,71.9,106743
2022-07-04,72.0,76.6,72.0,76.05,237330
2022-07-05,77.15,78.65,73.4,74.95,169830
2022-07-06,77.45,87.0,76.95,85.6,1197453
2022-07-07,88.0,89.85,85.2,86.55,656537
2022-07-08,86.55,87.35,82.55,83.6,264675
2022-07-11,80.65,83.55,78.15,78.85,261260
2022-07-12,80.05,85.95,79.45,83.25,512124
2022-07-13,84.1,84.3,79.15,79.65,257316
2022-07-14,80.4,82.95,77.8,80.0,305582
2022-07-15,80.75,81.05,77.25,78.25,186403
2022-07-18,79.45,84.45,79.35,83.55,468940
2022-07-19,83.15,83.5,80.65,81.25,173007
2022-07-20,82.0,84.8,81.25,81.95,174269
2022-07-21,82.05,82.85,79.8,80.55,139372
2022-07-22,80.8,81.65,78.45,78.95,133809
2022-07-25,79.3,81.15,78.2,79.6,135619
2022-07-26,79.65,82.65,78.15,78.6,143485
2022-07-27,78.95,80.0,75.85,76.8,126175
2022-07-28,78.3,78.3,74.45,75.2,128582
2022-07-29,76.1,78.05,75.65,76.45,118122
2022-08-01,77.0,78.75,75.65,76.85,129915
2022-08-02,77.15,77.85,76.2,76.75,78322
2022-08-03,76.15,77.2,73.8,74.75,88367
2022-08-04,75.15,76.25,72.85,73.75,90833
2022-08-05,74.15,75.85,73.3,74.35,81031
2022-08-08,74.45,80.35,74.45,78.85,280242
2022-08-10,79.8,82.0,77.85,81.45,282113
2022-08-11,82.0,82.0,79.45,80.45,219116
2022-08-12,80.65,81.8,79.85,80.75,168480
2022-08-16,91.15,93.0,87.55,89.6,710731
2022-08-17,87.85,89.95,85.0,85.6,287339
2022-08-18,87.15,95.55,84.8,94.15,746875
2022-08-19,95.6,99.8,94.55,97.05,606092
2022-08-22,97.0,97.0,90.85,91.65,210483
2022-08-23,91.15,93.55,90.2,92.25,146234
2022-08-24,92.3,94.05,90.35,90.7,143339
2022-08-25,91.85,99.85,89.5,98.55,703698
2022-08-26,100.85,100.85,92.8,96.8,261668
2022-08-29,92.45,104.35,90.0,102.2,560997
2022-08-30,104.2,106.15,101.15,102.15,283095
2022-09-01,103.2,104.45,101.25,102.3,139599
2022-09-02,102.8,103.75,98.55,99.25,109305
2022-09-05,100.65,104.15,96.8,101.95,212170
2022-09-06,102.35,103.1,99.0,100.4,107135
2022-09-07,100.0,102.75,99.25,101.2,88403
2022-09-08,102.65,106.65,101.4,104.8,316945
2022-09-09,105.85,106.85,100.6,101.35,190284
2022-09-12,102.85,103.15,99.15,100.0,116690
2022-09-13,100.45,102.0,97.85,99.85,131281
2022-09-14,97.85,99.85,89.15,97.15,184106
2022-09-15,100.85,102.65,98.85,100.15,154773
2022-09-16,100.4,100.4,97.2,98.55,96771
2022-09-19,98.75,98.95,95.85,96.25,61333
2022-09-20,97.35,99.0,94.65,95.65,64791
2022-09-21,96.05,97.55,94.55,95.2,50024
2022-09-22,97.25,99.8,96.55,98.95,136621
2022-09-23,99.55,100.45,97.95,98.6,86731
2022-09-26,98.6,98.8,92.85,93.9,101250
2022-09-27,94.0,95.8,93.0,94.25,46911
2022-09-28,93.85,99.15,93.85,97.25,111678
2022-09-29,98.85,100.35,95.55,96.25,64611
2022-09-30,95.8,96.85,95.0,95.8,35721
2022-10-03,95.55,97.05,93.85,94.45,41952
2022-10-04,96.0,98.2,94.65,95.65,52989
2022-10-06,97.15,99.8,96.0,98.95,65117
2022-10-07,98.65,103.85,97.8,101.6,129110
2022-10-10,100.85,100.85,98.45,99.35,59216
2022-10-11,98.8,100.3,95.8,96.3,74716
2022-10-12,96.35,97.0,93.55,94.95,69763
2022-10-13,95.45,96.45,93.55,94.55,42739
2022-10-14,96.05,98.8,95.35,95.7,99216
2022-10-17,96.35,96.65,94.25,94.75,57096
2022-10-18,95.85,101.15,94.8,100.15,237525
2022-10-19,103.2,103.75,96.85,98.6,240658
2022-10-20,98.65,98.85,94.85,96.15,81306
2022-10-21,96.55,97.4,94.45,94.65,70416
2022-10-24,96.55,96.55,93.85,94.65,27788
2022-10-25,95.6,96.0,83.35,85.3,418187
2022-10-27,82.2,87.2,82.2,84.55,156258
2022-10-28,85.55,86.35,82.35,83.2,88441
2022-10-31,84.0,84.75,76.65,79.25,291151
2022-11-01,80.0,81.65,77.05,79.75,185828
2022-11-02,80.65,82.05,80.15,81.2,86707
2022-11-03,80.85,81.0,79.0,79.6,49792
2022-11-04,79.75,80.05,76.95,78.25,91560
2022-11-07,78.35,83.8,78.15,82.2,117315
2022-11-09,83.45,93.65,82.8,92.7,440980
2022-11-10,92.95,94.95,89.65,93.35,182817
2022-11-11,94.4,94.4,90.45,91.05,91934
2022-11-14,91.05,92.45,88.45,91.65,90091
2022-11-15,91.8,95.35,91.2,92.4,97767
2022-11-16,93.55,94.35,91.55,92.65,70624
2022-11-17,93.35,93.35,90.7,91.3,44389
2022-11-18,91.2,92.15,90.15,90.95,41228
2022-11-21,91.65,97.2,91.15,95.35,168747
2022-11-22,96.15,96.45,92.9,93.25,46957
2022-11-23,93.55,96.85,92.8,94.6,77769
2022-11-24,94.95,101.95,93.95,100.05,442771
2022-11-25,100.8,103.0,100.0,100.75,197119
2022-11-28,101.35,102.55,99.8,100.6,80810
2022-11-29,101.05,101.55,100.0,100.55,57351
2022-11-30,101.65,106.45,101.65,105.85,380467
2022-12-01,108.35,108.35,102.2,102.95,312102
2022-12-02,102.85,103.15,100.7,101.35,102863
2022-12-05,101.9,103.2,100.6,100.95,77222
2022-12-06,100.2,101.95,98.35,99.55,93864
2022-12-07,100.2,105.6,98.8,104.05,177412
2022-12-08,104.0,104.35,101.45,102.05,51151
2022-12-09,102.45,102.45,99.45,99.85,61822
2022-12-12,99.85,102.2,98.8,100.6,48001
